,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.No.,Response No,"1.Have you ever participated in an outdoor or adventure event (e.g., surfing, hiking, horseback riding, skiing)?",2.Which of the events have you ever attended?,,,,,3.How many times per year do you typically attend such events?,4.What is your main motivation for attending these events?,5.How important is the event’s overall cost to you?,6.How important is the environment’s visual and thematic appeal to you?,"7.How important is a scenic, easily accessible location when choosing an event?","8.How important are additional amenities (e.g., food, music, freebies) to your enjoyment?",9.How important is having a range of different activities within the same event?,15.€20,16.€30,17.€40,18.€50,19.€60,10.€75,11.€100,12.€125,13.€150,14.€175,20.I’m willing to pay more if the visuals and the atmosphere of the event is particularly outstanding.,21.I would pay more if the location is especially convenient or attractive.,"22.High-quality amenities (food, music, etc.) leads to accepting higher prices for me.",23.I value a wide variety of activities enough to pay more.,"24.I’d rather have one excellent, well-managed activity with great atmosphere, than multiple average ones.","25.I prefer a basic location if it offers great amenities (e.g., quality food, music).","26.If all these factors (Price, Visual Appeal, Location, Amenities, Variety of Activites) are ideal, I am willing to pay a higher price.",27.Which single factor most often influences your decision to attend an event?,28.Which of these statements best describes your attitude towards paying for events?,29.I often decide whether to attend an event based on friends’ or social media recommendations.,"30.If you found an event that matched all your preferences, how likely would you recommend it to others?",31.Gender,32.Age,Timestamp
,, ,Horseback Riding,Surfing,Hiking,Skiing,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1,1,Yes,,,,Skiing,,1-2 times,Adventure and excitement,6,6,7,7,6,"Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.",7,7,7,4,7,4,7,Outstanding visual and Appealing atmosphere,Experience-Focused: I’m happy to pay more for a unique experience,7,7,Female,36,12/25/2024 08:24
2,2,Yes,,,,,None of the above,3-5 times,Adventure and excitement,5,3,6,5,4,"Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",7,1,6,6,7,5,7,Broad choice of activities,Experience-Focused: I’m happy to pay more for a unique experience,6,7,Female,33,12/25/2024 10:04
3,3,Yes,,,Hiking,,,1-2 times,Adventure and excitement,4,6,5,6,4,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,6,5,4,7,4,6,Broad choice of activities,Experience-Focused: I’m happy to pay more for a unique experience,6,7,Male,24,12/25/2024 10:39
4,4,Yes,Horseback Riding,,,,,1-2 times,Adventure and excitement,4,6,6,6,6,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,6,4,5,6,5,5,Broad choice of activities,Balanced: I pay more only if it truly seems worth it,6,7,Female,31,12/25/2024 12:12
5,5,Yes,,,Hiking,,,3-5 times,Adventure and excitement,5,6,4,3,5,"Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,5,4,4,4,4,4,Lowest price,Balanced: I pay more only if it truly seems worth it,4,4,Male,25,12/25/2024 13:00
6,6,Yes,,,Hiking,,,3-5 times,Adventure and excitement,2,4,3,4,4,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,6,6,5,5,5,5,High-quality amenities,Balanced: I pay more only if it truly seems worth it,2,6,Male,35,12/25/2024 13:21
7,7,Yes,,,Hiking,,,1-2 times,Relaxation and escaping routine,6,6,6,3,2,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",2,2,2,2,3,3,4,Lowest price,Balanced: I pay more only if it truly seems worth it,4,6,Male,26,12/25/2024 13:49
8,8,Yes,,,Hiking,,,1-2 times,Adventure and excitement,7,7,7,7,7,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,5,4,4,3,2,5,Convenient or appealing location,Balanced: I pay more only if it truly seems worth it,2,7,Female,31,12/25/2024 14:13
9,9,Yes,,,Hiking,,,1-2 times,Relaxation and escaping routine,2,4,6,2,3,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",3,3,4,4,5,2,3,Outstanding visual and Appealing atmosphere,Balanced: I pay more only if it truly seems worth it,5,6,Female,30,12/25/2024 14:28
